variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,26,68,RECOCIDO_SIMULADO,30.6512,4501,22608.061667,618.728333,219.893333,0,0,true,true,48,26.666667,9850,1364,42.401961,278.397369
BASE,N025-I01,25,1,27,69,RECOCIDO_SIMULADO,30.6023,4461,22556.226667,608.893333,219.473333,0,0,true,true,48,26.666667,10284,1388,42.401961,264.522949
BASE,N025-I01,25,1,27,69,GENETICO,197.7923,9060,22570.31,605.143333,219.651667,0,0,true,true,44,20,10068,1408,42.401961,
BASE,N025-I01,25,1,28,70,GENETICO,234.8823,9060,22590.805,606.138333,219.846667,0,0,true,true,44,20,10448,1462,42.401961,
BASE,N025-I01,25,1,28,70,RECOCIDO_SIMULADO,30.2486,4581,22575.916667,607.583333,219.683333,0,0,true,true,48,26.666667,11644,1628,42.401961,297.784718
BASE,N025-I01,25,1,29,71,RECOCIDO_SIMULADO,30.1814,4461,22570.056667,607.723333,219.623333,0,0,true,true,48,26.666667,10772,1512,42.401961,256.219892
BASE,N025-I01,25,1,29,71,GENETICO,319.8103,9060,22575.546667,604.213333,219.713333,0,0,true,true,48,26.666667,10948,1542,42.401961,
BASE,N025-I02,25,2,0,42,GENETICO,125.6048,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,0,42,RECOCIDO_SIMULADO,29.8408,4301,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,208.173216
BASE,N025-I02,25,2,1,43,RECOCIDO_SIMULADO,28.8036,4301,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,217.079958
BASE,N025-I02,25,2,1,43,GENETICO,126.3348,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,2,44,GENETICO,119.6063,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,2,44,RECOCIDO_SIMULADO,29.0256,4181,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,177.915806
BASE,N025-I02,25,2,3,45,RECOCIDO_SIMULADO,27.9618,4061,11833.393333,440.56,113.928333,0,0,true,true,56,15.384615,11174,1560,31.617647,158.665844
BASE,N025-I02,25,2,3,45,GENETICO,138.8288,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,4,46,GENETICO,126.6224,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,4,46,RECOCIDO_SIMULADO,29.6803,4261,11838.09,445.256667,113.928333,0,0,true,true,56,15.384615,11498,1656,31.617647,197.891493
BASE,N025-I02,25,2,5,47,RECOCIDO_SIMULADO,31.0929,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,223.851387
BASE,N025-I02,25,2,5,47,GENETICO,122.3366,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,6,48,GENETICO,123.2193,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,6,48,RECOCIDO_SIMULADO,27.1903,4061,11836.526667,443.693333,113.928333,0,0,true,true,56,15.384615,10730,1582,31.617647,152.632083
BASE,N025-I02,25,2,7,49,RECOCIDO_SIMULADO,27.8993,4061,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,155.172926
BASE,N025-I02,25,2,7,49,GENETICO,132.1441,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,8,50,GENETICO,126.7548,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,8,50,RECOCIDO_SIMULADO,29.8655,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,224.231177
BASE,N025-I02,25,2,9,51,RECOCIDO_SIMULADO,29.0326,4301,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,208.591285
BASE,N025-I02,25,2,9,51,GENETICO,129.2456,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,10,52,GENETICO,157.7977,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,10,52,RECOCIDO_SIMULADO,29.2448,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,241.140038
BASE,N025-I02,25,2,11,53,RECOCIDO_SIMULADO,28.7544,4261,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,203.540001
BASE,N025-I02,25,2,11,53,GENETICO,119.4483,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,12,54,GENETICO,169.0838,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,12,54,RECOCIDO_SIMULADO,29.0866,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,235.728053
