variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,tiempoMs,52.311857,52.3772,1.608408,48.4719,57.8851
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,evaluaciones,4866.333333,4861,105.03222,4581,5101
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,cumplimientoPct,28.106667,28,1.791654,32,24
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,cumplimientoPrioritariosPct,12.862578,12.903226,3.551766,17.647059,7.142857
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,retrasoHoras,863.779256,823.450833,93.590857,783.49,1047.276667
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,tiempoAtencionHoras,1709.949767,1723.314167,142.806691,1518.03,1957.253333
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,noAsignados,0,0,0,0,0
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,costo,16550.693333,16459,1216.852381,14324,19980
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,distanciaKm,2477.173333,2476,204.216517,2112,3056
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,utilizacionPct,64.509804,64.460784,6.328107,74.019608,54.166667
OBJ_B3_BAJO,GENETICO,25,150,100,objetivo,13865.396856,11841.03,4383.124347,11174.456667,22697.865
OBJ_B3_BAJO,GENETICO,25,150,100,tiempoMs,217.703283,177.40335,114.068862,106.0616,708.7448
OBJ_B3_BAJO,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
OBJ_B3_BAJO,GENETICO,25,150,100,cumplimientoPct,58.293333,56,8.674228,68,44
OBJ_B3_BAJO,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.105325,27.272727,12.766268,52.941176,15.384615
OBJ_B3_BAJO,GENETICO,25,150,100,retrasoHoras,133.909689,114.093333,43.195271,106.766667,220.906667
OBJ_B3_BAJO,GENETICO,25,150,100,tiempoAtencionHoras,474.427967,431.696667,72.140667,414.818333,607.198333
OBJ_B3_BAJO,GENETICO,25,150,100,noAsignados,0,0,0,0,0
OBJ_B3_BAJO,GENETICO,25,150,100,costo,11367.866667,10852,962.644056,10068,13420
OBJ_B3_BAJO,GENETICO,25,150,100,distanciaKm,1630.293333,1536,151.027334,1408,1934
OBJ_B3_BAJO,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,objetivo,13861.8061,11841.03,4382.343717,11175.046667,22633.276667
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,tiempoMs,28.829421,28.77475,1.22645,25.9293,33.4316
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,evaluaciones,4286.866667,4301,147.508101,3941,4621
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.253333,56,7.718353,68,48
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.60075,27.272727,12.4809,52.941176,15.384615
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.843111,114.093333,43.174958,106.766667,220.223333
OBJ_B3_BAJO,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.494989,431.696667,72.852915,416.048333,620.543333
