variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I02,25,2,3,780,GENETICO,116.0344,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,4,781,GENETICO,179.6819,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,4,781,RECOCIDO_SIMULADO,28.3015,4301,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,217.826219
BASE,N025-I02,25,2,5,782,RECOCIDO_SIMULADO,30.7913,4141,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,175.33744
BASE,N025-I02,25,2,5,782,GENETICO,116.2662,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,6,783,GENETICO,130.1384,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,6,783,RECOCIDO_SIMULADO,28.8742,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,234.388743
BASE,N025-I02,25,2,7,784,RECOCIDO_SIMULADO,26.6308,4141,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,169.843423
BASE,N025-I02,25,2,7,784,GENETICO,114.8305,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,8,785,GENETICO,554.5294,9060,11824.615,431.781667,113.928333,0,0,true,true,56,15.384615,11596,1690,31.617647,
BASE,N025-I02,25,2,8,785,RECOCIDO_SIMULADO,28.7466,4221,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,194.783119
BASE,N025-I02,25,2,9,786,RECOCIDO_SIMULADO,29.3959,4181,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,179.679819
BASE,N025-I02,25,2,9,786,GENETICO,167.6128,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,10,787,GENETICO,205.4004,9060,11824.615,431.781667,113.928333,0,0,true,true,56,15.384615,11596,1690,31.617647,
BASE,N025-I02,25,2,10,787,RECOCIDO_SIMULADO,26.8027,4181,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,181.776038
BASE,N025-I02,25,2,11,788,RECOCIDO_SIMULADO,28.502,4421,11834.788333,441.955,113.928333,0,0,true,true,56,15.384615,11206,1558,31.617647,249.968463
BASE,N025-I02,25,2,11,788,GENETICO,173.6615,9060,11838,431.666667,114.063333,0,0,true,true,56,15.384615,11656,1702,31.617647,
BASE,N025-I02,25,2,12,789,GENETICO,116.9311,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,12,789,RECOCIDO_SIMULADO,30.7909,4381,11833.74,440.906667,113.928333,0,0,true,true,56,15.384615,10972,1594,31.617647,230.522581
BASE,N025-I02,25,2,13,790,RECOCIDO_SIMULADO,27.1492,4061,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,153.717313
BASE,N025-I02,25,2,13,790,GENETICO,137.0578,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,14,791,GENETICO,132.1807,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
