variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I02,25,2,23,65,GENETICO,135.5091,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,24,66,GENETICO,212.8113,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,25,67,GENETICO,131.4289,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,26,68,GENETICO,193.5931,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,27,69,GENETICO,131.2803,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,28,70,GENETICO,195.8628,9060,11838,431.666667,114.063333,0,0,true,true,56,15.384615,11656,1702,31.617647,
BASE,N025-I02,25,2,29,71,GENETICO,120.8209,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I03,25,3,0,42,GENETICO,114.0336,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,1,43,GENETICO,200.9384,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,11432,1636,28.676471,
BASE,N025-I03,25,3,2,44,GENETICO,463.0682,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,3,45,GENETICO,324.6463,9060,12032.235,415.568333,116.166667,0,0,true,true,68,52.941176,10832,1536,28.676471,
BASE,N025-I03,25,3,4,46,GENETICO,128.8572,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,5,47,GENETICO,286.2079,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,10936,1574,28.676471,
BASE,N025-I03,25,3,6,48,GENETICO,122.7639,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,7,49,GENETICO,456.8187,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,11432,1636,28.676471,
BASE,N025-I03,25,3,8,50,GENETICO,214.2133,9060,12032.16,415.493333,116.166667,0,0,true,true,68,52.941176,10852,1536,28.676471,
BASE,N025-I03,25,3,9,51,GENETICO,113.7949,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,10,52,GENETICO,228.2305,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,11432,1636,28.676471,
BASE,N025-I03,25,3,11,53,GENETICO,200.4969,9060,12031.985,415.318333,116.166667,0,0,true,true,68,52.941176,11000,1582,28.676471,
BASE,N025-I03,25,3,12,54,GENETICO,390.2757,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,10984,1580,28.676471,
BASE,N025-I03,25,3,13,55,GENETICO,311.3319,9060,12032.16,415.493333,116.166667,0,0,true,true,68,52.941176,10852,1536,28.676471,
BASE,N025-I03,25,3,14,56,GENETICO,118.905,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,15,57,GENETICO,235.9614,9060,12032.16,415.493333,116.166667,0,0,true,true,68,52.941176,10852,1536,28.676471,
BASE,N025-I03,25,3,16,58,GENETICO,249.2776,9060,12032.235,415.568333,116.166667,0,0,true,true,68,52.941176,10832,1536,28.676471,
BASE,N025-I03,25,3,17,59,GENETICO,250.1565,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,18,60,GENETICO,485.4852,9060,12031.485,414.818333,116.166667,0,0,true,true,68,52.941176,11416,1634,28.676471,
BASE,N025-I03,25,3,19,61,GENETICO,386.9483,9060,12032.4,415.733333,116.166667,0,0,true,true,68,52.941176,10788,1536,28.676471,
BASE,N025-I03,25,3,20,62,GENETICO,397.3856,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,11432,1636,28.676471,
BASE,N025-I03,25,3,21,63,GENETICO,224.4007,9060,12032.16,415.493333,116.166667,0,0,true,true,68,52.941176,10852,1536,28.676471,
BASE,N025-I03,25,3,22,64,GENETICO,131.452,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,23,65,GENETICO,121.1232,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,24,66,GENETICO,220.1713,9060,12032.67,416.003333,116.166667,0,0,true,true,68,52.941176,10716,1536,28.676471,
BASE,N025-I03,25,3,25,67,GENETICO,227.8373,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,26,68,GENETICO,151.6687,9060,12032.715,416.048333,116.166667,0,0,true,true,68,52.941176,10704,1536,28.676471,
BASE,N025-I03,25,3,27,69,GENETICO,170.6772,9060,12031.685,415.018333,116.166667,0,0,true,true,68,52.941176,10632,1536,28.676471,
BASE,N025-I03,25,3,28,70,GENETICO,314.2644,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,11432,1636,28.676471,
BASE,N025-I03,25,3,29,71,GENETICO,392.0432,9060,12031.785,415.118333,116.166667,0,0,true,true,68,52.941176,11432,1636,28.676471,
BASE,N025-I04,25,4,0,42,GENETICO,268.9511,9060,11680.87,421.036667,112.598333,0,0,true,true,52,29.411765,12432,1798,25.490196,
BASE,N025-I04,25,4,1,43,GENETICO,542.5942,9060,11656.911667,420.411667,112.365,0,0,true,true,56,35.294118,13004,1882,25.490196,
BASE,N025-I04,25,4,2,44,GENETICO,159.9381,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,3,45,GENETICO,673.1148,9060,11656.911667,420.411667,112.365,0,0,true,true,56,35.294118,13244,1912,25.490196,
BASE,N025-I04,25,4,4,46,GENETICO,250.3267,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,5,47,GENETICO,396.8305,9060,11657.061667,420.561667,112.365,0,0,true,true,56,35.294118,13420,1934,25.490196,
BASE,N025-I04,25,4,6,48,GENETICO,122.2557,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,7,49,GENETICO,362.2668,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,8,50,GENETICO,359.0407,9060,11714.35,421.516667,112.928333,0,0,true,true,52,29.411765,13032,1884,25.490196,
BASE,N025-I04,25,4,9,51,GENETICO,248.53,9060,11680.87,421.036667,112.598333,0,0,true,true,52,29.411765,12432,1798,25.490196,
BASE,N025-I04,25,4,10,52,GENETICO,313.7534,9060,11680.87,421.036667,112.598333,0,0,true,true,52,29.411765,12432,1798,25.490196,
BASE,N025-I04,25,4,11,53,GENETICO,399.8414,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,12,54,GENETICO,579.9631,9060,11650.851667,420.351667,112.305,0,0,true,true,56,35.294118,12748,1848,25.490196,
BASE,N025-I04,25,4,13,55,GENETICO,201.6632,9060,11657.061667,420.561667,112.365,0,0,true,true,56,35.294118,13420,1934,25.490196,
BASE,N025-I04,25,4,14,56,GENETICO,290.7949,9060,11709.805,421.471667,112.883333,0,0,true,true,52,29.411765,13044,1884,25.490196,
BASE,N025-I04,25,4,15,57,GENETICO,114.4089,9060,11795.655,422.321667,113.733333,0,0,true,true,52,29.411765,13084,1874,25.490196,
BASE,N025-I04,25,4,16,58,GENETICO,178.8909,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,17,59,GENETICO,171.3036,9060,11795.655,422.321667,113.733333,0,0,true,true,52,29.411765,13084,1874,25.490196,
BASE,N025-I04,25,4,18,60,GENETICO,435.2813,9060,11771.696667,421.696667,113.5,0,0,true,true,56,35.294118,13384,1924,25.490196,
BASE,N025-I04,25,4,19,61,GENETICO,276.6962,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,20,62,GENETICO,362.8292,9060,11711.965,420.631667,112.913333,0,0,true,true,52,29.411765,12540,1798,25.490196,
BASE,N025-I04,25,4,21,63,GENETICO,294.5604,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,22,64,GENETICO,131.3613,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,23,65,GENETICO,417.2858,9060,11681.02,421.186667,112.598333,0,0,true,true,52,29.411765,13120,1884,25.490196,
BASE,N025-I04,25,4,24,66,GENETICO,215.7788,9060,11685.846667,420.846667,112.65,0,0,true,true,56,35.294118,13344,1934,25.490196,
BASE,N025-I04,25,4,25,67,GENETICO,147.2504,9060,11713.116667,421.116667,112.92,0,0,true,true,56,35.294118,13272,1934,25.490196,
BASE,N025-I04,25,4,26,68,GENETICO,422.5806,9060,11657.061667,420.561667,112.365,0,0,true,true,56,35.294118,13420,1934,25.490196,
BASE,N025-I04,25,4,27,69,GENETICO,418.1706,9060,11657.061667,420.561667,112.365,0,0,true,true,56,35.294118,13420,1934,25.490196,
BASE,N025-I04,25,4,28,70,GENETICO,148.0538,9060,11795.655,422.321667,113.733333,0,0,true,true,52,29.411765,13084,1874,25.490196,
BASE,N025-I04,25,4,29,71,GENETICO,237.4186,9060,11731.015,421.681667,113.093333,0,0,true,true,52,29.411765,12988,1884,25.490196,
BASE,N025-I05,25,5,0,42,GENETICO,117.5122,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,1,43,GENETICO,142.8356,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,2,44,GENETICO,125.2142,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,3,45,GENETICO,113.6541,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,4,46,GENETICO,224.6605,9060,11175.001667,498.335,106.766667,0,0,true,true,68,27.272727,10752,1536,31.127451,
BASE,N025-I05,25,5,5,47,GENETICO,111.7832,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,6,48,GENETICO,115.6975,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,7,49,GENETICO,202.1342,9060,11174.656667,497.99,106.766667,0,0,true,true,68,27.272727,10836,1570,31.127451,
BASE,N025-I05,25,5,8,50,GENETICO,329.3465,9060,11175.001667,498.335,106.766667,0,0,true,true,68,27.272727,10752,1536,31.127451,
BASE,N025-I05,25,5,9,51,GENETICO,115.7826,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,10,52,GENETICO,210.4528,9060,11175.001667,498.335,106.766667,0,0,true,true,68,27.272727,10752,1536,31.127451,
BASE,N025-I05,25,5,11,53,GENETICO,112.5158,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,12,54,GENETICO,199.6511,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,13,55,GENETICO,113.5361,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,14,56,GENETICO,114.4748,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,15,57,GENETICO,175.7433,9060,11174.456667,497.79,106.766667,0,0,true,true,68,27.272727,11012,1592,31.127451,
BASE,N025-I05,25,5,16,58,GENETICO,112.6064,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,17,59,GENETICO,111.8798,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,18,60,GENETICO,148.5361,9060,11175.001667,498.335,106.766667,0,0,true,true,68,27.272727,10752,1536,31.127451,
BASE,N025-I05,25,5,19,61,GENETICO,120.0785,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,20,62,GENETICO,111.1034,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,21,63,GENETICO,140.2464,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,22,64,GENETICO,119.2415,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,23,65,GENETICO,142.5054,9060,11175.001667,498.335,106.766667,0,0,true,true,68,27.272727,10752,1536,31.127451,
BASE,N025-I05,25,5,24,66,GENETICO,161.9162,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,25,67,GENETICO,114.5089,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,26,68,GENETICO,188.9692,9060,11175.001667,498.335,106.766667,0,0,true,true,68,27.272727,10752,1536,31.127451,
BASE,N025-I05,25,5,27,69,GENETICO,148.8938,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,28,70,GENETICO,166.6228,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N025-I05,25,5,29,71,GENETICO,110.695,9060,11175.046667,498.38,106.766667,0,0,true,true,68,27.272727,10740,1536,31.127451,
BASE,N050-I01,50,1,0,42,GENETICO,473.1307,9060,97806.356667,1759.023333,930.473333,3,0,true,true,28,7.142857,15464,2238,66.666667,
BASE,N050-I01,50,1,1,43,GENETICO,417.1045,9060,100447.79,1756.456667,956.913333,3,0,true,true,28,7.142857,16440,2574,66.666667,
BASE,N050-I01,50,1,2,44,GENETICO,252.4645,9060,102057.255,1875.255,991.82,1,0,true,true,28,7.142857,16848,2510,71.568627,
BASE,N050-I01,50,1,3,45,GENETICO,348.9296,9060,100438.523333,1833.523333,966.05,2,0,true,true,28,7.142857,16882,2512,69.117647,
BASE,N050-I01,50,1,4,46,GENETICO,328.4511,9060,100971.781667,1864.781667,981.07,1,0,true,true,28,7.142857,15332,2360,71.568627,
BASE,N050-I01,50,1,5,47,GENETICO,228.7554,9060,100764.815,1838.981667,969.258333,2,0,true,true,28,7.142857,16274,2394,69.117647,
BASE,N050-I01,50,1,6,48,GENETICO,446.9744,9060,98140.87,1790.87,943.5,2,0,true,true,28,7.142857,16530,2490,69.117647,
BASE,N050-I01,50,1,7,49,GENETICO,568.6813,9060,102675.273333,1825.606667,988.496667,2,0,true,true,28,7.142857,16872,2550,69.117647,
BASE,N050-I01,50,1,8,50,GENETICO,275.9176,9060,101572.318333,1870.818333,987.015,1,0,true,true,28,7.142857,16398,2406,71.568627,
BASE,N050-I01,50,1,9,51,GENETICO,611.2582,9060,100258.798333,1822.798333,964.36,2,0,true,true,28,7.142857,15046,2212,69.607843,
BASE,N050-I01,50,1,10,52,GENETICO,351.2825,9060,98001.88,1788.38,942.135,2,0,true,true,28,7.142857,16414,2516,69.117647,
BASE,N050-I01,50,1,11,53,GENETICO,288.3162,9060,99295.703333,1798.536667,954.971667,2,0,true,true,28,7.142857,16180,2436,69.117647,
BASE,N050-I01,50,1,12,54,GENETICO,458.2274,9060,100279.546667,1839.046667,964.405,2,0,true,true,28,7.142857,16840,2552,69.362745,
BASE,N050-I01,50,1,13,55,GENETICO,215.5176,9060,101139.941667,1867.441667,982.725,1,0,true,true,28,7.142857,16644,2556,71.568627,
BASE,N050-I01,50,1,14,56,GENETICO,466.0481,9060,97509.221667,1785.555,937.236667,2,0,true,true,28,7.142857,16722,2530,69.362745,
BASE,N050-I01,50,1,15,57,GENETICO,317.5858,9060,100568.693333,1839.36,967.293333,2,0,true,true,28,7.142857,16428,2518,69.117647,
BASE,N050-I01,50,1,16,58,GENETICO,243.0872,9060,101250.881667,1867.881667,983.83,1,0,true,true,28,7.142857,16500,2516,71.568627,
BASE,N050-I01,50,1,17,59,GENETICO,318.6898,9060,98329.846667,1763.013333,935.668333,3,0,true,true,28,7.142857,16388,2394,66.666667,
BASE,N050-I01,50,1,18,60,GENETICO,424.5985,9060,101466.02,1796.186667,976.698333,2,0,true,true,28,7.142857,16274,2462,69.117647,
BASE,N050-I01,50,1,19,61,GENETICO,454.295,9060,103216.508333,1813.341667,994.031667,2,0,true,true,28,7.142857,16148,2468,69.117647,
BASE,N050-I01,50,1,20,62,GENETICO,481.0564,9060,97242.496667,1748.996667,924.935,3,0,true,true,28,7.142857,14706,2116,66.666667,
BASE,N050-I01,50,1,21,63,GENETICO,182.1965,9060,106577.598333,1942.265,1046.353333,0,0,true,true,28,7.142857,16760,2596,74.019608,
BASE,N050-I01,50,1,22,64,GENETICO,303.7573,9060,100798.836667,1814.336667,969.845,2,0,true,true,28,7.142857,15424,2398,69.117647,
BASE,N050-I01,50,1,23,65,GENETICO,458.3108,9060,103108.74,1805.073333,983.036667,3,0,true,true,28,7.142857,15878,2434,66.666667,
BASE,N050-I01,50,1,24,66,GENETICO,508.2352,9060,98638.84,1760.673333,938.781667,3,0,true,true,28,7.142857,14780,2274,66.666667,
BASE,N050-I01,50,1,25,67,GENETICO,345.9935,9060,104703.381667,1895.048333,1018.083333,1,0,true,true,28,7.142857,15800,2328,72.058824,
BASE,N050-I01,50,1,26,68,GENETICO,332.9142,9060,103920.73,1865.063333,1010.556667,1,0,true,true,28,7.142857,16732,2550,71.568627,
BASE,N050-I01,50,1,27,69,GENETICO,219.8103,9060,101036.246667,1867.746667,981.685,1,0,true,true,28,7.142857,16768,2580,71.568627,
BASE,N050-I01,50,1,28,70,GENETICO,480.2812,9060,99162.105,1799.438333,953.626667,2,0,true,true,28,7.142857,16212,2456,69.117647,
