variante,escenario,algoritmo,repeticion,semilla,iteracion,evaluaciones,mejor_F
BASE,N025-I01,GENETICO,0,777,141,8520,22546.351667
BASE,N025-I01,GENETICO,0,777,142,8580,22546.351667
BASE,N025-I01,GENETICO,0,777,143,8640,22546.351667
BASE,N025-I01,GENETICO,0,777,144,8700,22546.351667
BASE,N025-I01,GENETICO,0,777,145,8760,22546.351667
BASE,N025-I01,GENETICO,0,777,146,8820,22546.351667
BASE,N025-I01,GENETICO,0,777,147,8880,22546.351667
BASE,N025-I01,GENETICO,0,777,148,8940,22546.351667
BASE,N025-I01,GENETICO,0,777,149,9000,22546.351667
BASE,N025-I01,GENETICO,0,777,150,9060,22546.351667
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,0,101,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,1,141,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,2,181,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,3,221,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,4,261,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,5,301,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,6,341,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,7,381,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,8,421,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,9,461,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,10,501,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,11,541,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,12,581,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,13,621,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,14,661,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,15,701,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,16,741,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,17,781,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,18,821,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,19,861,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,20,901,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,21,941,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,22,981,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,23,1021,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,24,1061,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,25,1101,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,26,1141,22708.225
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,27,1181,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,28,1221,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,29,1261,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,30,1301,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,31,1341,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,32,1381,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,33,1421,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,34,1461,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,35,1501,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,36,1541,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,37,1581,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,38,1621,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,39,1661,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,40,1701,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,41,1741,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,42,1781,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,43,1821,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,44,1861,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,45,1901,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,46,1941,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,47,1981,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,48,2021,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,49,2061,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,50,2101,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,51,2141,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,52,2181,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,53,2221,22691.75
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,54,2261,22651.411667
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,55,2301,22650.606667
BASE,N025-I01,RECOCIDO_SIMULADO,0,777,56,2341,22650.606667
